Chapter,Former name,Charter date and range,Institution,Location,Status,References,
Iota Phi,Tennessee Iota Phi,1999–2017,Belmont University,"Nashville, Tennessee",Inactive,[eu],
Iota Chi,Alabama Iota Chi,2001–2008,Auburn University at Montgomery,"Montgomery, Alabama",Inactive,,
Iota Psi,Pennsylvania Iota Psi,2001,Temple University,"Philadelphia, Pennsylvania",Active,,
Iota Omega,Pennsylvania Iota Omega,2003–2020,Bloomsburg University of Pennsylvania,"Bloomsburg, Pennsylvania",Inactive,[ev],
Kappa Alpha,Texas Kappa Alpha,2004,University of Texas at Arlington,"Arlington, Texas",Active,,
Kappa Beta,Alabama Kappa Beta,2005,Troy University,"Troy, Alabama",Active,,
Kappa Gamma,Texas Kappa Gamma,2006–2023,University of North Texas,"Denton, Texas",Inactive,,
Kappa Delta,North Carolina Kappa Delta,2007–2015,North Carolina State University,"Raleigh, North Carolina",Colony,[24][ew],
Kappa Epsilon,California Kappa Epsilon,2007,Pepperdine University,"Malibu, California",Active,,
Kappa Zeta,Virginia Kappa Zeta,"2007 – November 19, 2015",James Madison University,"Harrisonburg, Virginia",Inactive,[25][26][ex],
Kappa Eta,,"November 17, 2007",Florida Institute of Technology,"Melbourne, Florida",Active,,
Kappa Theta,,"January 12, 2008 – 2014",Eastern Illinois University,"Charleston, Illinois",Inactive,,
Kappa Iota,,"December 13, 2008 – 2019",University of North Carolina Wilmington,"Wilmington, North Carolina",Inactive,,
Kappa Kappa,,"January 31, 2009",College of William and Mary,"Williamsburg, Virginia",Active,,
Kappa Lambda,,"September 26, 2009",Grand Valley State University,"Allendale, Michigan",Active,,
Kappa Mu,,"December 11, 2010",University of North Florida,"Jacksonville, Florida",Active,,
Kappa Nu,,"November 12, 2011",Arkansas Tech University,"Russellville, Arkansas",Active,[27],
Kappa Xi,,October 2012,East Carolina University,"Greenville, North Carolina",Active,,
Kappa Omicron,,"January 11, 2014 – 2023",University of Louisville,"Louisville, Kentucky",Inactive,,
Kappa Pi,,2012–2021,Utah State University,"Logan, Utah",Inactive,,
Kappa Rho,,2015,Samford University,"Birmingham, Alabama",Active,,
Kappa Sigma,,"October 3, 2015",University of South Alabama,"Mobile, Alabama",Active,,
Kappa Tau,,2016,Eastern Kentucky University,"Richmond, Kentucky",Active,,
Kappa Upsilon,,"April 23, 2016",University of Tampa,"Tampa, Florida",Active,,
Kappa Phi,,"November 29, 2016",Lake Forest College,"Lake Forest, Illinois",Active,,
Kappa Chi,,"January 28, 2017",West Chester University,"West Chester, Pennsylvania",Active,,
Kappa Psi,,"March 25, 2017",University of Pittsburgh,"Pittsburgh, Pennsylvania",Active,,
Kappa Omega,,"April 4, 2017",Georgia College and State University,"Milledgeville, Georgia",Active,,
Lambda Alpha,,"October 14, 2017",Florida Gulf Coast University,"Fort Myers, Florida",Active,,
Lambda Beta,,"June 6, 2018",Santa Clara University,"Santa Clara, California",Inactive,,
Lambda Gamma,,"April 6, 2019",Boise State University,"Boise, Idaho",Active,,
Lambda Delta,,"April 20, 2019",University of North Carolina at Charlotte,"Charlotte, North Carolina",Active,,
Lambda Epsilon,,2019,Kennesaw State University,"Kennesaw, Georgia",Active,,
Lambda Zeta,,2019–2024,University of San Diego,"San Diego, California",Inactive,,
Lambda Eta,,"April 12, 2025",University of Texas at Tyler,"Tyler, Texas",Active,[ey],
