Chapter,Charter date and range,Institution,Location,Status,References
North Carolina Epsilon,"March 21, 2015",University of North Carolina at Charlotte,"Charlotte, North Carolina",Active,
North Carolina Zeta,"April 17, 2015",Campbell University,"Buies Creek, North Carolina",Active,
West Virginia Gamma,2015,West Liberty University,"West Liberty, West Virginia",Active,[er]
Missouri Iota,"October 24, 2015",Lindenwood University,"St. Charles, Missouri",Active,
California Psi,2015,Loyola Marymount University,"Los Angeles, California",Active,
Florida Xi,2015,Florida Gulf Coast University,"Fort Myers, Florida",Active,
New York Lambda,2016,St. John's University,"New York City, New York",Active,
Tennessee Eta,2016,Middle Tennessee State University,"Murfreesboro, Tennessee",Active,
Connecticut Gamma,"November 12, 2016",University of Connecticut,"Storrs, Connecticut",Active,
Michigan Zeta,"December 10, 2016",Central Michigan University,"Mount Pleasant, Michigan",Active,
Texas Upsilon,2017,University of Texas at Dallas,"Richardson, Texas",Active,
Georgia Eta,"April 29, 2017",University of West Georgia,"Carrollton, Georgia",Active,
New Jersey Gamma,"December 9, 2017",Seton Hall University,"South Orange, New Jersey",Active,
New Jersey Delta,"March 30, 2018",Stockton University,"Galloway Township, New Jersey",Active,
District of Columbia Alpha,"April 21, 2018 – 2021",George Washington University,"Washington, D.C.",Inactive,
Florida Omicron,"October 27, 2018",Nova Southeastern University,"Davie, Florida",Active,[21]
Virginia Iota,"November 17, 2018",Old Dominion University,"Norfolk, Virginia",Active,
Georgia Theta,2019,Augusta University,"Augusta, Georgia",Active,
Virginia Kappa,2019,Radford University,"Radford, Virginia",Active,
Pennsylvania Sigma,"May 4, 2019",Millersville University of Pennsylvania,"Millersville, Pennsylvania",Active,
Wisconsin Zeta,"May 11, 2019",University of Wisconsin–Whitewater,"Whitewater, Wisconsin",Active,
Kansas Theta,2020,"Ottawa University, Kansas","Ottawa, Kansas",Active,
Georgia Iota,"March 6, 2020",University of North Georgia,"Dahlonega, Georgia",Active,[22][23]
North Dakota Beta,"November 6, 2020",North Dakota State University,"Fargo, North Dakota",Active,
California Omega,"April 10, 2021",Santa Clara University,"Santa Clara, California",Active,[24]
Arkansas Beta,"April 30, 2021",Arkansas State University,"Jonesboro, Arkansas",Active,
British Columbia Gamma,2022,University of British Columbia Okanagan,"Kelowna, British Columbia, Canada",Active,[25]
North Carolina Eta,2022,Appalachian State University,"Boone, North Carolina",Active,
Massachusetts Eta,"November 9, 2022",Babson College,"Wellesley, Massachusetts",Active,
Louisiana Epsilon,"December 10, 2022",Louisiana Tech University,"Ruston, Louisiana",Active,
Michigan Eta,"February 18, 2023",Western Michigan University,"Kalamazoo, Michigan",Active,
Oklahoma Epsilon,"February 25, 2023",Rogers State University,"Claremore, Oklahoma",Active,
Virginia Lambda,2023,George Mason University,"Fairfax, Virginia",Active,
Connecticut Delta,2024,Eastern Connecticut State University,"Willimantic, Connecticut",Active,
Tennessee Theta,2024,East Tennessee State University,"Johnson City, Tennessee",Active,
Idaho Beta,,Boise State University,"Boise, Idaho",Colony,[es]
